suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,0,libero_goal/push_the_plate_to_the_front_of_the_stove/0000,0,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,138,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,1,libero_goal/push_the_plate_to_the_front_of_the_stove/0001,1,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,140,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,2,libero_goal/push_the_plate_to_the_front_of_the_stove/0002,2,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,135,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,3,libero_goal/push_the_plate_to_the_front_of_the_stove/0003,3,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,145,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,4,libero_goal/push_the_plate_to_the_front_of_the_stove/0004,4,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,144,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,5,libero_goal/push_the_plate_to_the_front_of_the_stove/0005,5,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,139,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,6,libero_goal/push_the_plate_to_the_front_of_the_stove/0006,6,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,131,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,7,libero_goal/push_the_plate_to_the_front_of_the_stove/0007,7,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,146,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,8,libero_goal/push_the_plate_to_the_front_of_the_stove/0008,8,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,141,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,9,libero_goal/push_the_plate_to_the_front_of_the_stove/0009,9,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,137,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,10,libero_goal/push_the_plate_to_the_front_of_the_stove/0010,10,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,130,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,11,libero_goal/push_the_plate_to_the_front_of_the_stove/0011,11,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,138,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,12,libero_goal/push_the_plate_to_the_front_of_the_stove/0012,12,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,140,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,13,libero_goal/push_the_plate_to_the_front_of_the_stove/0013,13,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,140,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,14,libero_goal/push_the_plate_to_the_front_of_the_stove/0014,14,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,132,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,15,libero_goal/push_the_plate_to_the_front_of_the_stove/0015,15,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,144,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,16,libero_goal/push_the_plate_to_the_front_of_the_stove/0016,16,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,137,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,17,libero_goal/push_the_plate_to_the_front_of_the_stove/0017,17,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,131,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,18,libero_goal/push_the_plate_to_the_front_of_the_stove/0018,18,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,136,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,19,libero_goal/push_the_plate_to_the_front_of_the_stove/0019,19,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,132,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,20,libero_goal/push_the_plate_to_the_front_of_the_stove/0020,20,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,159,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,21,libero_goal/push_the_plate_to_the_front_of_the_stove/0021,21,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,147,
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,22,libero_goal/push_the_plate_to_the_front_of_the_stove/0022,22,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,152,
