suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,0,libero_goal/put_the_cream_cheese_in_the_bowl/0000,0,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,99,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,1,libero_goal/put_the_cream_cheese_in_the_bowl/0001,1,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,102,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,2,libero_goal/put_the_cream_cheese_in_the_bowl/0002,2,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,101,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,3,libero_goal/put_the_cream_cheese_in_the_bowl/0003,3,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,101,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,4,libero_goal/put_the_cream_cheese_in_the_bowl/0004,4,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,101,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,5,libero_goal/put_the_cream_cheese_in_the_bowl/0005,5,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,99,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,6,libero_goal/put_the_cream_cheese_in_the_bowl/0006,6,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,98,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,7,libero_goal/put_the_cream_cheese_in_the_bowl/0007,7,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,98,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,8,libero_goal/put_the_cream_cheese_in_the_bowl/0008,8,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,107,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,9,libero_goal/put_the_cream_cheese_in_the_bowl/0009,9,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,97,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,10,libero_goal/put_the_cream_cheese_in_the_bowl/0010,10,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,100,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,11,libero_goal/put_the_cream_cheese_in_the_bowl/0011,11,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,107,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,12,libero_goal/put_the_cream_cheese_in_the_bowl/0012,12,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,100,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,13,libero_goal/put_the_cream_cheese_in_the_bowl/0013,13,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,99,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,14,libero_goal/put_the_cream_cheese_in_the_bowl/0014,14,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,99,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,15,libero_goal/put_the_cream_cheese_in_the_bowl/0015,15,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,102,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,16,libero_goal/put_the_cream_cheese_in_the_bowl/0016,16,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,97,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,17,libero_goal/put_the_cream_cheese_in_the_bowl/0017,17,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,99,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,18,libero_goal/put_the_cream_cheese_in_the_bowl/0018,18,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,100,
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,19,libero_goal/put_the_cream_cheese_in_the_bowl/0019,19,spatial_forcing,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/spatial-forcing-7b-finetuned-libero-goal,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,98,
