suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type,elapsed_s
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,libero_goal/open_the_middle_drawer_of_the_cabinet/0000,0,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,138,,19.758
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,libero_goal/open_the_middle_drawer_of_the_cabinet/0001,1,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,122,,16.117
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,libero_goal/open_the_middle_drawer_of_the_cabinet/0002,2,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,116,,15.720
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,3,libero_goal/open_the_middle_drawer_of_the_cabinet/0003,3,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,151,,18.400
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,4,libero_goal/open_the_middle_drawer_of_the_cabinet/0004,4,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,127,,16.651
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,5,libero_goal/open_the_middle_drawer_of_the_cabinet/0005,5,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,110,,15.095
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,6,libero_goal/open_the_middle_drawer_of_the_cabinet/0006,6,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,110,,15.916
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,7,libero_goal/open_the_middle_drawer_of_the_cabinet/0007,7,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,114,,15.632
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,8,libero_goal/open_the_middle_drawer_of_the_cabinet/0008,8,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,123,,16.294
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,9,libero_goal/open_the_middle_drawer_of_the_cabinet/0009,9,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,106,,15.218
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,10,libero_goal/open_the_middle_drawer_of_the_cabinet/0010,10,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,112,,17.016
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,11,libero_goal/open_the_middle_drawer_of_the_cabinet/0011,11,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,114,,15.565
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,12,libero_goal/open_the_middle_drawer_of_the_cabinet/0012,12,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,115,,15.728
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,13,libero_goal/open_the_middle_drawer_of_the_cabinet/0013,13,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,118,,15.792
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,14,libero_goal/open_the_middle_drawer_of_the_cabinet/0014,14,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,127,,16.785
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,15,libero_goal/open_the_middle_drawer_of_the_cabinet/0015,15,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,119,,15.565
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,16,libero_goal/open_the_middle_drawer_of_the_cabinet/0016,16,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,115,,15.401
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,17,libero_goal/open_the_middle_drawer_of_the_cabinet/0017,17,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,111,,15.209
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,18,libero_goal/open_the_middle_drawer_of_the_cabinet/0018,18,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,138,,17.610
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,19,libero_goal/open_the_middle_drawer_of_the_cabinet/0019,19,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,111,,15.321
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,20,libero_goal/open_the_middle_drawer_of_the_cabinet/0020,20,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,123,,17.549
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,21,libero_goal/open_the_middle_drawer_of_the_cabinet/0021,21,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,115,,15.424
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,22,libero_goal/open_the_middle_drawer_of_the_cabinet/0022,22,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,127,,16.357
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,23,libero_goal/open_the_middle_drawer_of_the_cabinet/0023,23,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,115,,15.459
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,24,libero_goal/open_the_middle_drawer_of_the_cabinet/0024,24,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,115,,15.399
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,25,libero_goal/open_the_middle_drawer_of_the_cabinet/0025,25,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,114,,15.292
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,26,libero_goal/open_the_middle_drawer_of_the_cabinet/0026,26,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,117,,15.614
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,27,libero_goal/open_the_middle_drawer_of_the_cabinet/0027,27,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,125,,16.029
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,28,libero_goal/open_the_middle_drawer_of_the_cabinet/0028,28,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,114,,15.540
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,29,libero_goal/open_the_middle_drawer_of_the_cabinet/0029,29,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,125,,15.914
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,30,libero_goal/open_the_middle_drawer_of_the_cabinet/0030,30,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,121,,15.986
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,31,libero_goal/open_the_middle_drawer_of_the_cabinet/0031,31,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,108,,15.486
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,32,libero_goal/open_the_middle_drawer_of_the_cabinet/0032,32,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,110,,14.754
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,33,libero_goal/open_the_middle_drawer_of_the_cabinet/0033,33,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,108,,14.892
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,34,libero_goal/open_the_middle_drawer_of_the_cabinet/0034,34,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,106,,14.664
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,35,libero_goal/open_the_middle_drawer_of_the_cabinet/0035,35,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,122,,15.872
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,36,libero_goal/open_the_middle_drawer_of_the_cabinet/0036,36,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,0,300,,24.771
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,37,libero_goal/open_the_middle_drawer_of_the_cabinet/0037,37,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_layer2_4suite_2500_seed20260519,1,113,,15.469
